`id` bigint(20) UNSIGNED NOT NULL,;  `description` text NOT NULL,;  `quantity` int(11) NOT NULL,;  `amount` decimal(11,2) NOT NULL,;  `VAT` decimal(8,2) NOT NULL, 0,2;  `invoice_id` bigint(20)  ID de la facture,;  `created_at` timestamp NULL DEFAULT NULL,;  `updated_at` timestamp NULL DEFAULT NULL,;  `deleted_at` timestamp NULL DEFAULT NULL
114;Evaluation Immobilière;1;2000.00;0.20;114;NULL;NULL;NULL
115;"Action de la formation sur la thématique ""Evaluation Immobilière""";1;3000.00;0.20;115;NULL;NULL;NULL
116;"Action de la formation sur la thématique ""Evaluation Immobilière""";1;2500.00;0.20;116;NULL;NULL;NULL
117;"Action de la formation sur la thématique
""Evaluation
Immobilière""
(Le 31 Janvier à l'Hôtel Palace d'ANFA)";1;3000.00;0.20;117;NULL;NULL;NULL
118;l’estimation de la valeur vénale, d’un « Bien » immobilier, de type « Lot de terrain pour villa », sis Lotissement « ANNASR », Lot N° S7-RV5-15, Commune Ouled Saleh, Casablanca - Maroc. Objet du T.F N° 136.203/63.;1;2500.00;0.20;118;NULL;NULL;NULL
119;Expertise Immobilière;1;1500.00;0.20;119;NULL;NULL;NULL
120;Expertise Immobilière;1;1250.00;0.20;120;NULL;NULL;NULL
121;Expertise Immobilière;1;1250.00;0.20;121;NULL;NULL;NULL
122;Expertise Immobilière;1;2000.00;0.20;122;NULL;NULL;NULL
123;Expertise Immobilière;1;2000.00;0.20;123;NULL;NULL;NULL
124;Expertise Immobilière;1;1500.00;0.20;124;NULL;NULL;NULL
125;Expertise Immobilière;3;1000.00;0.20;125;NULL;NULL;NULL
126;Expertise Immobilière;1;1250.00;0.20;126;NULL;NULL;NULL
127;Expertise Immobilière;1;1500.00;0.20;127;NULL;NULL;NULL
128;Expertise Immobilière;1;1333.33;0.20;128;NULL;NULL;NULL
129;Expertise Immobilière;1;1500.00;0.20;129;NULL;NULL;NULL
130;Expertise Immobilière;1;1250.00;0.20;130;NULL;NULL;NULL
131;Expertise Immobilière;1;1250.00;0.20;131;NULL;NULL;NULL
132;Expertise Immobilière;1;1250.00;0.20;132;NULL;NULL;NULL
133;Expertise Immobilière;1;1250.00;0.20;133;NULL;NULL;NULL
134;Expertise Immobilière;1;1250.00;0.20;134;NULL;NULL;NULL
135;Expertise Immobilière;1;1500.00;0.20;135;NULL;NULL;NULL
136;Expertise Immobilière;1;1500.00;0.20;136;NULL;NULL;NULL
137;Expertise Immobilière;1;1250.00;0.20;137;NULL;NULL;NULL
138;Expertise Immobilière;1;1500.00;0.20;138;NULL;NULL;NULL
139;Expertise Immobilière;1;1250.00;0.20;139;NULL;NULL;NULL
140;Expertise Immobilière;1;1250.00;0.20;140;NULL;NULL;NULL
141;Expertise Immobilière;1;1250.00;0.20;141;NULL;NULL;NULL
142;Expertise Immobilière;1;1250.00;0.20;142;NULL;NULL;NULL
143;"Action de la formation sur la thématique ""Evaluation Immobilière""";1;3000.00;0.20;143;NULL;NULL;NULL
144;Expertise Immobilière;1;1666.67;0.20;144;NULL;NULL;NULL
145;Expertise Immobilière;1;1250.00;0.20;145;NULL;NULL;NULL
146;Expertise Immobilière;1;1500.00;0.20;146;NULL;NULL;NULL
147;Expertise Immobilière;1;1250.00;0.20;147;NULL;NULL;NULL
148;Expertise Immobilière;1;1250.00;0.20;148;NULL;NULL;NULL
149;Expertise Immobilière;1;1250.00;0.20;149;NULL;NULL;NULL
150;Expertise Immobilière;1;2000.00;0.20;150;NULL;NULL;NULL
151;Expertise Immobilière;1;4500.00;0.20;151;NULL;NULL;NULL
152;Expertise Immobilière;1;2000.00;0.20;152;NULL;NULL;NULL
153;"Expertise immobilière d’un Bien immobilier, de type « Villa », sis Rue 31, N°29, Quartier KRIMATE, Arrondissement Ain Chock,
Casablanca - Maroc, objet du T.F N°41.486/C.";1;3333.33;0.20;153;NULL;NULL;NULL
154;"Expertise Immobilière , sis Lot N°317,
Lotissement LINA, Route 1029, Zone Industrielle Sidi Maarouf, Casablanca Maroc, objet du T.F N°1544/47.";1;4500.00;0.20;154;NULL;NULL;NULL
155;"Evaluatio immobilière, sis sis Rue Idriss Al Mohammedi, Lot N°06, Arrondissement Anfa,
Casablanca - Maroc, objet du TF N° 44.749/01.";1;4500.00;0.20;155;NULL;NULL;NULL
156;Expertise immobilière de deux commerces sis 14, Rue Yatrib, Mers Sultan, Commune Sidi Belyout, Casablanca - Maroc, objet du T.F N°2.841/46. et T.F N°2.842/46;2;1750.00;0.20;156;NULL;NULL;NULL
157;"Expertise  de la valeur vénale
des constructions d’un « Bien » immobilier, de type « Unité industrielle », sis PARC INDUSTRIEL D’OULED
SALEH, Lot N°84, Province de Nouaceur, Commune d’Ouled Saleh, Casablanca-Maroc, objet du T.F.M
N°4.678/63.";1;3000.00;0.20;157;NULL;NULL;NULL
158;Expertise Immobilière sis Boulevard Abdelhadi Boutaleb, Lot N°02, Arrondissement Hay Hassani, Casablanca- Maroc. Objet du TF N°19.063/64.;1;2000.00;0.20;158;NULL;NULL;NULL
159;Expertise Immobilière;1;1500.00;0.20;159;NULL;NULL;NULL
160;"Expertise Immobilière de la valeur vénale, de trois  «Bien» immobilier, de type « Plateau bureau
», sis Boulevard Mohamed V, Immeuble N°355, 10ème étage, Préfecture d'Aïn Sebaâ-Hay Mohammadi,
Casablanca - Maroc. Objet du T.F N°28.837/32, T. N° 28.838/32 et T.F N°28.839/32";3;2500.00;0.20;160;NULL;NULL;NULL
161;Expertise  immobilizer de la valeur vénale, d’un bien immobilier de type « Unité industrielle », sis RS N°120, Route Sebt Gzoula, Km 5, Safi- Maroc, objet du T.F N°24.497/23.;1;3500.00;0.20;161;NULL;NULL;NULL
162;Expertise immobilière de la valeur vénale, d’un «Bien» immobilier, de type « Lot de terrain pour villa », sis Lotissement « Almaz II », Lot N°39, Rocade Sud-Ouest, Province de Nouaceur, Commune Oulad Azzouz, Casablanca - Maroc. Objet du T.F N° 184.858/63.;1;1500.00;0.20;162;NULL;NULL;NULL
163;Expertise Immobilière;1;1250.00;0.20;163;NULL;NULL;NULL
164;Expertise Immobilière;1;1250.00;0.20;164;NULL;NULL;NULL
165;"Expertise Immobilière de deux comemrces sis, Boulevard Mohamed VI, Résidence « Fath Zhar », Immeuble N°16,
Route de Mediouna, Casablanca - Maroc, objet du T.F N°692/48 et T.F N°693/48";2;1250.00;0.20;165;NULL;NULL;NULL
166;Expertise Immoblière sis, de type « Plateau bureau », sis 20, Rue n°11, Résidence « Smail » Bureau N°7, Rez-De-Chaussée, Quartier de L’Hermitage, Préfecture Derb Sultan Al Fida, Casablanca – Maroc, objet du T.F N°14.807/34.;1;2000.00;0.20;166;NULL;NULL;NULL
